country	time	s_hat	s_var	C_ba2_bst	C_ba1_bst	C_ba2_ba1	C_ba1_ba1	C_ba2_ba2	C_ba1_ba2
NORWAY	44605	0.07	2.6e-06	0.4653171388880406	0.4457449289149335	0.05480482332524766	0.07209932668210559	0.007151513992194841	0.004620340078112282
NORWAY	44612	0.067	3.2e-06	0.4654491843747729	0.4443344794805207	0.05661327734946185	0.0756818781429063	0.009666050964848178	0.006163058025662742
NORWAY	44619	0.067	4.4e-06	0.46267730850917044	0.44001649649674673	0.05686407501762767	0.0773897423411504	0.012448411258516376	0.00783713289866076
NORWAY	44626	0.067	7.1e-06	0.4581281677806122	0.43390508541098244	0.0563417041354867	0.07815764867235692	0.015688964598764614	0.00976665466033205
NORWAY	44633	0.064	1.13e-05	0.4528309421281221	0.4270188234658788	0.055475761682020626	0.07849448715642687	0.02024363635342351	0.012514444558575975
NORWAY	44640	0.065	1.95e-05	0.4466790275594506	0.4192646243598753	0.05411603995203073	0.0781937984434455	0.02528122601910464	0.015500181203699528
NORWAY	44647	0.062	3.35e-05	0.4398528825436832	0.41083231100157264	0.05231705805273741	0.07730027972001396	0.030135271390849802	0.018271472168167213
NORWAY	44654	0.057	6.01e-05	0.43244053821040784	0.4018223341232389	0.050206647740153244	0.0759511825592226	0.0342781680663221	0.020480570970477566
NY	44598	0.093	3.24e-05	0.2714520768319631	0.2592588165137114	0.049647817612451864	0.06449152075483575	0.004388756473858162	0.00285720953518339
NY	44605	0.103	1.69e-05	0.27483421977436234	0.261634802301983	0.05480482332524766	0.07209932668210559	0.007151513992194841	0.004620340078112282
NY	44612	0.112	1.2e-05	0.27979677552566834	0.2655153073848912	0.05661327734946185	0.0756818781429063	0.009666050964848178	0.006163058025662742
NY	44619	0.113	7.7e-06	0.28082805900409447	0.26550647261834964	0.05686407501762767	0.0773897423411504	0.012448411258516376	0.00783713289866076
NY	44626	0.113	4.9e-06	0.2794260713468947	0.26308625800042307	0.0563417041354867	0.07815764867235692	0.015688964598764614	0.00976665466033205
