time_cut_off	date_cut_off	data_points	gamma_inf_new	b_new
44956	2023-01-31	170	2.162812101447641	7.763423315437169
44957	2023-02-01	170	2.1517633594588963	7.72376380867546
44958	2023-02-02	170	2.1347344325683473	7.662638402556974
44959	2023-02-03	169	2.113824544575645	7.5875822699150905
44960	2023-02-04	169	2.113824544575645	7.5875822699150905
44961	2023-02-05	169	2.104591859142222	7.554441505948605
44962	2023-02-06	169	2.0913895663879467	7.507051819476459
44963	2023-02-07	168	2.0980016596595346	7.530785956637117
44964	2023-02-08	168	2.0830601584580672	7.477153373983514
44965	2023-02-09	168	2.067634599012446	7.421783262186173
44966	2023-02-10	167	2.0463616103529088	7.34542377814318
44967	2023-02-11	167	2.0463616103529088	7.34542377814318
44968	2023-02-12	167	2.0359873665466526	7.308185385500745
44969	2023-02-13	166	2.0246014394981926	7.267315551520847
44970	2023-02-14	163	2.0335536590875294	7.299449582136937
44971	2023-02-15	161	2.0175116419480084	7.2418666928030735
44972	2023-02-16	160	2.0015315366299458	7.184506036217903
44973	2023-02-17	158	1.9844578747594517	7.123220053697016
44974	2023-02-18	158	1.9844578747594517	7.123220053697016
44975	2023-02-19	157	1.9721858715711973	7.079169645612539
44976	2023-02-20	156	1.9603772001582211	7.036782368922865
44977	2023-02-21	153	1.9605856648858915	7.037530653957039
44978	2023-02-22	151	1.9424973073924152	6.972602417144963
44979	2023-02-23	150	1.9273365808449294	6.918182924171468
44980	2023-02-24	148	1.9100228305367795	6.856035143173766
44981	2023-02-25	148	1.9100228305367795	6.856035143173766
44982	2023-02-26	147	1.8948409498497756	6.801539717325731
44983	2023-02-27	146	1.8831827649827113	6.759692612738115
44984	2023-02-28	143	1.871320554109044	6.717113155924635
