country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
ITALY	44347	05/17/2021	06/16/2021	0.08	9.9e-06	0.2	0.07	0.0004850890874990443	0.023853654219240402	2690	1163	156	732	48.54	0.20011928523896683	0.1307661803776562	0.669114534383377
ITALY	44354	05/24/2021	06/23/2021	0.088	8.7e-06	0.224	0.07	0.0005248018019360772	0.02405576268346128	2250	1002	187	1176	34.3	0.21104038378087564	0.2125571780412555	0.5764024381778688
ITALY	44361	05/31/2021	06/30/2021	0.088	5.9e-06	0.248	0.07	0.0005673442003303404	0.024181782070779787	1682	848	289	2033	23.82	0.20213768608692473	0.29341444958957014	0.5044478643235052
ITALY	44368	06/07/2021	07/07/2021	0.094	5.3e-06	0.276	0.07	0.00061342614671449	0.02425722985138029	1268	556	438	3275	17.82	0.16354259450711384	0.43208952819756513	0.404367877295321
ITALY	44375	06/14/2021	07/14/2021	0.105	5.9e-06	0.311	0.071	0.0006698451270986924	0.024301863565754225	1199	349	647	4380	15.91	0.10799645868167729	0.6085333959159444	0.28347014540237836
ITALY	44382	06/21/2021	07/21/2021	0.103	7.4e-06	0.353	0.071	0.0007603852979303492	0.024328555597729392	1042	220	1016	4680	22.15	0.05864400881919049	0.7881576585189687	0.15319833266184082
ITALY	44389	06/28/2021	07/28/2021	0.097	1.14e-05	0.4	0.071	0.0009342879711014106	0.024348422831462043	905	125	1748	4373	36.98	0.031551739723706215	0.8907675074438133	0.0776807528324805
ITALY	44396	07/05/2021	08/04/2021	0.085	2.02e-05	0.447	0.071	0.0012291583125803199	0.02436626040808488	642	66	2879	3694	55.25	0.020570322541120394	0.9321273721741115	0.04730230528476815
NETHERLANDS	44339	05/09/2021	06/08/2021	0.101	2.41e-05	0.136	0.095	0.00017298533635888441	0.03453672298414519	4706	2507	50	544	205.84	0.03954089041010822	0.03510231183778518	0.9253567977521066
NETHERLANDS	44346	05/16/2021	06/15/2021	0.102	1.66e-05	0.192	0.096	0.00023628293855699147	0.03568803158913901	4250	1864	82	761	148.9	0.03993134326380998	0.07566129174235471	0.8844073649938353
NETHERLANDS	44353	05/23/2021	06/22/2021	0.111	1.06e-05	0.232	0.097	0.0003172542493001167	0.03648108498158068	3771	1244	131	1195	105.23	0.04161985829878356	0.15809268803055207	0.8002874536706643
NETHERLANDS	44360	05/30/2021	06/29/2021	0.122	6.3e-06	0.272	0.097	0.00041674532662010975	0.03700093667530728	3259	782	242	2272	72.11	0.037873809333414665	0.2603649200730469	0.7017612705935384
NETHERLANDS	44367	06/06/2021	07/06/2021	0.125	5.5e-06	0.312	0.098	0.0005484167948485469	0.0373000899653714	2684	485	480	3658	58.11	0.03205135775364898	0.43875639839478203	0.529192243851569
NETHERLANDS	44374	06/13/2021	07/13/2021	0.125	5.5e-06	0.35	0.099	0.0009582213210488053	0.03748823421205475	2052	321	694	4654	139.9	0.016170204810515176	0.7016115076585169	0.28221828753096795
